Level,Date and Time,Source,Event ID,Task Category
Information,2025-03-15 9:39:02 AM,Windows Error Reporting,1001,None,"Fault bucket , type 0
Event Name: BEX64
Response: Not available
Cab Id: 0

Problem signature:
P1: UIHost.exe
P2: 4.1.1.859
P3: 65957eb8
P4: DSREG.DLL_unloaded
P5: 10.0.22621.2506
P6: 37b00de2
P7: 0000000000051bb0
P8: c0000005
P9: 0000000000000008
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.1af719c8-f04d-4002-ac4c-d994c6f20877.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_UIHost.exe_fdd4c8933634103ca78abb63f0d82e7404cb8_117cc9cf_83357bd3-21d1-40c1-8f1b-d6a9d59bc0a7

Analysis symbol: 
Rechecking for solution: 0
Report Id: b23993f1-7723-4d90-84b7-99b436b602a7
Report Status: 102
Hashed bucket: 
Cab Guid: 0"
Information,2025-03-15 9:39:01 AM,Windows Error Reporting,1001,None,"Fault bucket , type 0
Event Name: BEX64
Response: Not available
Cab Id: 0

Problem signature:
P1: UIHost.exe
P2: 4.1.1.859
P3: 65957eb8
P4: DSREG.DLL_unloaded
P5: 10.0.22621.2506
P6: 37b00de2
P7: 0000000000051bb0
P8: c0000005
P9: 0000000000000008
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.22fb6e56-8f57-44d6-a0ce-63f59d98de0a.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_UIHost.exe_fdd4c8933634103ca78abb63f0d82e7404cb8_117cc9cf_a5d23ab5-3bb5-4b70-a968-5e890ca985e3

Analysis symbol: 
Rechecking for solution: 0
Report Id: d9713ea4-479a-4b1e-b054-80d304e32c6b
Report Status: 102
Hashed bucket: 
Cab Guid: 0"
Information,2025-03-15 9:39:00 AM,Windows Error Reporting,1001,None,"Fault bucket , type 0
Event Name: BEX64
Response: Not available
Cab Id: 0

Problem signature:
P1: UIHost.exe
P2: 4.1.1.859
P3: 65957eb8
P4: DSREG.DLL_unloaded
P5: 10.0.22621.2506
P6: 37b00de2
P7: 0000000000051bb0
P8: c0000005
P9: 0000000000000008
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.9721212c-99af-45e6-ad3b-8779adcda01c.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_UIHost.exe_fdd4c8933634103ca78abb63f0d82e7404cb8_117cc9cf_7c311572-148d-40b2-8609-ef0cbfc0affa

Analysis symbol: 
Rechecking for solution: 0
Report Id: 073c8542-010f-4f69-82c8-c58822dc1130
Report Status: 102
Hashed bucket: 
Cab Guid: 0"
Information,2025-03-15 9:39:00 AM,Windows Error Reporting,1001,None,"Fault bucket , type 0
Event Name: BEX64
Response: Not available
Cab Id: 0

Problem signature:
P1: UIHost.exe
P2: 4.1.1.859
P3: 65957eb8
P4: DSREG.DLL_unloaded
P5: 10.0.22621.2506
P6: 37b00de2
P7: 0000000000051bb0
P8: c0000005
P9: 0000000000000008
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.097bb8d9-c05a-435a-884a-22a5844bb8f8.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_UIHost.exe_fdd4c8933634103ca78abb63f0d82e7404cb8_117cc9cf_4feb5ef7-8b87-4d6e-8be1-0beda29afc8e

Analysis symbol: 
Rechecking for solution: 0
Report Id: 4f312e1d-3461-4bd5-af35-21d9a5baf9c5
Report Status: 102
Hashed bucket: 
Cab Guid: 0"
Information,2025-03-15 9:38:59 AM,Windows Error Reporting,1001,None,"Fault bucket , type 0
Event Name: BEX64
Response: Not available
Cab Id: 0

Problem signature:
P1: UIHost.exe
P2: 4.1.1.859
P3: 65957eb8
P4: DSREG.DLL_unloaded
P5: 10.0.22621.2506
P6: 37b00de2
P7: 0000000000051bb0
P8: c0000005
P9: 0000000000000008
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.c555152e-2f2f-4a95-b931-2d63423b1cb3.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_UIHost.exe_fdd4c8933634103ca78abb63f0d82e7404cb8_117cc9cf_83c64dfd-8b3e-4fd6-8b35-de26578a2c36

Analysis symbol: 
Rechecking for solution: 0
Report Id: 920a71f6-9831-42da-8699-8d2e2f472922
Report Status: 102
Hashed bucket: 
Cab Guid: 0"
Information,2025-03-15 9:38:58 AM,Windows Error Reporting,1001,None,"Fault bucket , type 0
Event Name: BEX64
Response: Not available
Cab Id: 0

Problem signature:
P1: UIHost.exe
P2: 4.1.1.859
P3: 65957eb8
P4: DSREG.DLL_unloaded
P5: 10.0.22621.2506
P6: 37b00de2
P7: 0000000000051bb0
P8: c0000005
P9: 0000000000000008
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.ff288068-d393-468f-9d46-f6a7f7ec4f61.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_UIHost.exe_fdd4c8933634103ca78abb63f0d82e7404cb8_117cc9cf_d631bfbd-5816-4d9a-9306-7ff3b3d05592

Analysis symbol: 
Rechecking for solution: 0
Report Id: 9667592d-3369-45a6-8231-e7ed6a04ab86
Report Status: 102
Hashed bucket: 
Cab Guid: 0"
Information,2025-03-15 9:38:58 AM,Windows Error Reporting,1001,None,"Fault bucket , type 0
Event Name: BEX64
Response: Not available
Cab Id: 0

Problem signature:
P1: UIHost.exe
P2: 4.1.1.859
P3: 65957eb8
P4: DSREG.DLL_unloaded
P5: 10.0.22621.2506
P6: 37b00de2
P7: 0000000000051bb0
P8: c0000005
P9: 0000000000000008
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.9b50b385-c5d6-4986-aec7-c1573daa6930.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_UIHost.exe_fdd4c8933634103ca78abb63f0d82e7404cb8_117cc9cf_fce391ac-7f2c-48cd-9627-7878739f61bd

Analysis symbol: 
Rechecking for solution: 0
Report Id: 393ac297-984c-45a2-852a-9c9eec57036a
Report Status: 102
Hashed bucket: 
Cab Guid: 0"
Information,2025-03-15 9:38:57 AM,Windows Error Reporting,1001,None,"Fault bucket , type 0
Event Name: BEX64
Response: Not available
Cab Id: 0

Problem signature:
P1: UIHost.exe
P2: 4.1.1.859
P3: 65957eb8
P4: DSREG.DLL_unloaded
P5: 10.0.22621.2506
P6: 37b00de2
P7: 0000000000051bb0
P8: c0000005
P9: 0000000000000008
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.5c163cac-0969-4db7-8717-7b3f32cf7a82.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_UIHost.exe_fdd4c8933634103ca78abb63f0d82e7404cb8_117cc9cf_d324ac37-bdb7-4af1-a07e-8123e6fa882a

Analysis symbol: 
Rechecking for solution: 0
Report Id: 88963bc2-06a4-40c0-9174-dce92cbf037e
Report Status: 102
Hashed bucket: 
Cab Guid: 0"
Information,2025-03-15 9:38:57 AM,Windows Error Reporting,1001,None,"Fault bucket , type 0
Event Name: BEX64
Response: Not available
Cab Id: 0

Problem signature:
P1: UIHost.exe
P2: 4.1.1.859
P3: 65957eb8
P4: DSREG.DLL_unloaded
P5: 10.0.22621.2506
P6: 37b00de2
P7: 0000000000051bb0
P8: c0000005
P9: 0000000000000008
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.63056b55-4513-48c2-998e-a6827b6631ab.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_UIHost.exe_fdd4c8933634103ca78abb63f0d82e7404cb8_117cc9cf_a5ff1a20-9767-4c8f-a7ae-9c185fba25ab

Analysis symbol: 
Rechecking for solution: 0
Report Id: 1b5b02f5-c32c-4a9d-a33f-3a398b4a718a
Report Status: 102
Hashed bucket: 
Cab Guid: 0"
Information,2025-03-15 9:38:57 AM,Windows Error Reporting,1001,None,"Fault bucket , type 0
Event Name: BEX64
Response: Not available
Cab Id: 0

Problem signature:
P1: UIHost.exe
P2: 4.1.1.859
P3: 65957eb8
P4: DSREG.DLL_unloaded
P5: 10.0.22621.2506
P6: 37b00de2
P7: 0000000000051bb0
P8: c0000005
P9: 0000000000000008
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.ca79dda2-4b59-462e-bad5-398f1a2ccdc5.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_UIHost.exe_fdd4c8933634103ca78abb63f0d82e7404cb8_117cc9cf_8d91cba7-c2ae-4ee0-aff8-a237f87a256c

Analysis symbol: 
Rechecking for solution: 0
Report Id: 8a9e3b6a-6ea5-46ba-90e4-81ce87b23d9d
Report Status: 102
Hashed bucket: 
Cab Guid: 0"
Information,2025-03-15 9:38:56 AM,Windows Error Reporting,1001,None,"Fault bucket , type 0
Event Name: BEX64
Response: Not available
Cab Id: 0

Problem signature:
P1: UIHost.exe
P2: 4.1.1.859
P3: 65957eb8
P4: DSREG.DLL_unloaded
P5: 10.0.22621.2506
P6: 37b00de2
P7: 0000000000051bb0
P8: c0000005
P9: 0000000000000008
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.dd522dcb-7f69-47d2-8766-4b24e48bfef4.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_UIHost.exe_fdd4c8933634103ca78abb63f0d82e7404cb8_117cc9cf_2d477d08-152e-4f8e-9cc2-7b35ee4444c3

Analysis symbol: 
Rechecking for solution: 0
Report Id: 1c0c7575-3bb5-435f-85dd-5b978575bc1d
Report Status: 102
Hashed bucket: 
Cab Guid: 0"
Information,2025-03-15 9:38:56 AM,Windows Error Reporting,1001,None,"Fault bucket , type 0
Event Name: BEX64
Response: Not available
Cab Id: 0

Problem signature:
P1: UIHost.exe
P2: 4.1.1.859
P3: 65957eb8
P4: DSREG.DLL_unloaded
P5: 10.0.22621.2506
P6: 37b00de2
P7: 0000000000051bb0
P8: c0000005
P9: 0000000000000008
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.19b4c395-80cb-4714-830d-8041e24b52f4.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_UIHost.exe_fdd4c8933634103ca78abb63f0d82e7404cb8_117cc9cf_94c4324d-7f4d-4198-b4e7-0eb2ec27fef7

Analysis symbol: 
Rechecking for solution: 0
Report Id: f4f681bd-37cd-47a7-afa7-806b6714056f
Report Status: 102
Hashed bucket: 
Cab Guid: 0"
Information,2025-03-15 9:38:55 AM,Windows Error Reporting,1001,None,"Fault bucket , type 0
Event Name: BEX64
Response: Not available
Cab Id: 0

Problem signature:
P1: UIHost.exe
P2: 4.1.1.859
P3: 65957eb8
P4: DSREG.DLL_unloaded
P5: 10.0.22621.2506
P6: 37b00de2
P7: 0000000000051bb0
P8: c0000005
P9: 0000000000000008
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.56f86dc7-4b0f-4a46-bdc6-63116cbd4a16.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_UIHost.exe_fdd4c8933634103ca78abb63f0d82e7404cb8_117cc9cf_5e4e8686-b856-4f55-bc1b-b8444519ed4e

Analysis symbol: 
Rechecking for solution: 0
Report Id: a1468f2b-7ff8-4616-8f73-3e4b35b256c0
Report Status: 102
Hashed bucket: 
Cab Guid: 0"
Information,2025-03-15 9:38:54 AM,Windows Error Reporting,1001,None,"Fault bucket , type 0
Event Name: BEX64
Response: Not available
Cab Id: 0

Problem signature:
P1: UIHost.exe
P2: 4.1.1.859
P3: 65957eb8
P4: DSREG.DLL_unloaded
P5: 10.0.22621.2506
P6: 37b00de2
P7: 0000000000051bb0
P8: c0000005
P9: 0000000000000008
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.3a3abfb1-7f5b-40cd-8c0a-acad5148c920.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_UIHost.exe_fdd4c8933634103ca78abb63f0d82e7404cb8_117cc9cf_77a9ebda-78a5-4d83-abca-c01af8c7389d

Analysis symbol: 
Rechecking for solution: 0
Report Id: ffd9f9c2-60e5-40bb-b885-037ccdc645b0
Report Status: 102
Hashed bucket: 
Cab Guid: 0"
Information,2025-03-15 9:38:53 AM,Windows Error Reporting,1001,None,"Fault bucket , type 0
Event Name: BEX64
Response: Not available
Cab Id: 0

Problem signature:
P1: UIHost.exe
P2: 4.1.1.859
P3: 65957eb8
P4: DSREG.DLL_unloaded
P5: 10.0.22621.2506
P6: 37b00de2
P7: 0000000000051bb0
P8: c0000005
P9: 0000000000000008
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.87cee840-b034-4ef1-9dad-23efeda372ca.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_UIHost.exe_fdd4c8933634103ca78abb63f0d82e7404cb8_117cc9cf_e63fa9cc-9393-4b64-b467-502fb3b30c46

Analysis symbol: 
Rechecking for solution: 0
Report Id: 072e632d-a232-445c-8e4c-df32dd83e5b0
Report Status: 102
Hashed bucket: 
Cab Guid: 0"
Information,2025-03-15 9:38:53 AM,Windows Error Reporting,1001,None,"Fault bucket , type 0
Event Name: BEX64
Response: Not available
Cab Id: 0

Problem signature:
P1: UIHost.exe
P2: 4.1.1.859
P3: 65957eb8
P4: DSREG.DLL_unloaded
P5: 10.0.22621.2506
P6: 37b00de2
P7: 0000000000051bb0
P8: c0000005
P9: 0000000000000008
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.b5db8110-ecd3-4d6b-b30b-a18733e247aa.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_UIHost.exe_fdd4c8933634103ca78abb63f0d82e7404cb8_117cc9cf_b8175086-176e-419a-87ff-11822aacea9d

Analysis symbol: 
Rechecking for solution: 0
Report Id: 8b2b2111-8682-4c3d-8b37-0948af044e18
Report Status: 102
Hashed bucket: 
Cab Guid: 0"
Information,2025-03-15 9:38:52 AM,Windows Error Reporting,1001,None,"Fault bucket , type 0
Event Name: BEX64
Response: Not available
Cab Id: 0

Problem signature:
P1: UIHost.exe
P2: 4.1.1.859
P3: 65957eb8
P4: DSREG.DLL_unloaded
P5: 10.0.22621.2506
P6: 37b00de2
P7: 0000000000051bb0
P8: c0000005
P9: 0000000000000008
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.b5be8fc2-0e1c-47f9-9059-2ff4acdd6d62.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_UIHost.exe_fdd4c8933634103ca78abb63f0d82e7404cb8_117cc9cf_ab4fc389-b014-4c73-9a03-7bcbb29445d8

Analysis symbol: 
Rechecking for solution: 0
Report Id: 2eccac22-af92-4144-8529-e2cec60540bb
Report Status: 102
Hashed bucket: 
Cab Guid: 0"
Information,2025-03-15 9:38:51 AM,Windows Error Reporting,1001,None,"Fault bucket , type 0
Event Name: BEX64
Response: Not available
Cab Id: 0

Problem signature:
P1: UIHost.exe
P2: 4.1.1.859
P3: 65957eb8
P4: DSREG.DLL_unloaded
P5: 10.0.22621.2506
P6: 37b00de2
P7: 0000000000051bb0
P8: c0000005
P9: 0000000000000008
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.c89002c4-16a1-447d-b701-ed3441925a67.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_UIHost.exe_fdd4c8933634103ca78abb63f0d82e7404cb8_117cc9cf_2526fe85-1746-4f83-a796-b57640a087f0

Analysis symbol: 
Rechecking for solution: 0
Report Id: aba5a61f-6bb7-402e-9b12-131b6d3c70f9
Report Status: 102
Hashed bucket: 
Cab Guid: 0"
Information,2025-03-15 9:38:50 AM,Windows Error Reporting,1001,None,"Fault bucket , type 0
Event Name: BEX64
Response: Not available
Cab Id: 0

Problem signature:
P1: UIHost.exe
P2: 4.1.1.859
P3: 65957eb8
P4: DSREG.DLL_unloaded
P5: 10.0.22621.2506
P6: 37b00de2
P7: 0000000000051bb0
P8: c0000005
P9: 0000000000000008
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.2a94cc4a-15e1-4896-8f72-d321c7568b56.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_UIHost.exe_fdd4c8933634103ca78abb63f0d82e7404cb8_117cc9cf_85d1e4e6-8fc0-4841-9c09-65c004409e4d

Analysis symbol: 
Rechecking for solution: 0
Report Id: a2f31e28-7eb1-4026-b8d3-6edc4bd2a11b
Report Status: 102
Hashed bucket: 
Cab Guid: 0"
Information,2025-03-15 9:38:49 AM,Windows Error Reporting,1001,None,"Fault bucket , type 0
Event Name: BEX64
Response: Not available
Cab Id: 0

Problem signature:
P1: UIHost.exe
P2: 4.1.1.859
P3: 65957eb8
P4: DSREG.DLL_unloaded
P5: 10.0.22621.2506
P6: 37b00de2
P7: 0000000000051bb0
P8: c0000005
P9: 0000000000000008
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.c0d1410c-98cb-40e8-b7f7-6817f7ac9f03.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_UIHost.exe_fdd4c8933634103ca78abb63f0d82e7404cb8_117cc9cf_130bab4c-f99c-47a0-9eb0-5d06a174d26f

Analysis symbol: 
Rechecking for solution: 0
Report Id: 7fd8910d-07a1-4f83-933f-1ac50b240ed3
Report Status: 102
Hashed bucket: 
Cab Guid: 0"
